,file_path,emotion,emotional_intensity
35,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-07-02-02-01-04.wav,disgust,3
36,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-08-02-01-02-04.wav,surprised,3
37,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-04-01-01-01-04.wav,sad,2
38,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-08-01-02-01-04.wav,surprised,2
39,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-08-02-01-01-04.wav,surprised,3
40,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-06-02-02-02-04.wav,fearful,3
41,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-07-02-02-02-04.wav,disgust,3
42,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-05-02-02-01-04.wav,angry,3
43,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-04-01-02-02-04.wav,sad,2
44,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-05-02-02-02-04.wav,angry,3
45,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-06-02-01-01-04.wav,fearful,3
46,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-05-01-01-02-04.wav,angry,2
47,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-04-01-01-02-04.wav,sad,2
48,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-06-02-02-01-04.wav,fearful,3
49,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-04-02-01-02-04.wav,sad,3
50,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-06-01-02-01-04.wav,fearful,2
51,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-06-01-01-02-04.wav,fearful,2
52,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-06-02-01-02-04.wav,fearful,3
53,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-07-01-02-02-04.wav,disgust,2
54,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-04-02-01-01-04.wav,sad,3
55,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-04-02-02-02-04.wav,sad,3
56,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-07-02-01-01-04.wav,disgust,3
57,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-06-01-01-01-04.wav,fearful,2
58,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-07-01-01-01-04.wav,disgust,2
59,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_04/03-01-04-01-02-01-04.wav,sad,2
60,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-04-01-02-02-03.wav,sad,2
61,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-02-01-02-02-03.wav,calm,2
62,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-03-01-02-02-03.wav,happy,2
63,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-03-02-01-02-03.wav,happy,3
64,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-03-02-02-01-03.wav,happy,3
65,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-04-01-01-01-03.wav,sad,2
66,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-04-02-01-02-03.wav,sad,3
67,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-02-01-01-01-03.wav,calm,2
68,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-01-01-01-01-03.wav,neutral,2
69,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-03-01-01-01-03.wav,happy,2
70,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-02-02-02-02-03.wav,calm,3
71,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-04-02-01-01-03.wav,sad,3
72,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-02-02-01-01-03.wav,calm,3
73,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-01-01-01-02-03.wav,neutral,2
74,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-03-02-01-01-03.wav,happy,3
75,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-04-02-02-01-03.wav,sad,3
76,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-02-01-02-01-03.wav,calm,2
77,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-02-01-01-02-03.wav,calm,2
78,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-03-01-01-02-03.wav,happy,2
79,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-01-01-02-01-03.wav,neutral,2
80,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-02-02-01-02-03.wav,calm,3
81,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-04-01-01-02-03.wav,sad,2
82,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-01-01-02-02-03.wav,neutral,2
83,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-04-01-02-01-03.wav,sad,2
84,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-03-02-02-02-03.wav,happy,3
85,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-03-01-02-01-03.wav,happy,2
86,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-02-02-02-01-03.wav,calm,3
87,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-08-01-02-02-03.wav,surprised,2
88,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-06-02-02-02-03.wav,fearful,3
89,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-07-02-02-01-03.wav,disgust,3
90,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-04-02-02-02-03.wav,sad,3
91,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-05-02-02-02-03.wav,angry,3
92,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-06-01-01-02-03.wav,fearful,2
93,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-05-01-01-01-03.wav,angry,2
94,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-06-01-02-02-03.wav,fearful,2
95,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-07-01-02-02-03.wav,disgust,2
96,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-07-01-02-01-03.wav,disgust,2
97,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-06-02-01-02-03.wav,fearful,3
98,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-07-01-01-02-03.wav,disgust,2
99,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-08-02-01-02-03.wav,surprised,3
100,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-07-02-01-01-03.wav,disgust,3
101,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-05-01-01-02-03.wav,angry,2
102,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-06-02-01-01-03.wav,fearful,3
103,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-05-02-01-01-03.wav,angry,3
104,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-08-01-02-01-03.wav,surprised,2
105,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-07-02-01-02-03.wav,disgust,3
106,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-05-01-02-02-03.wav,angry,2
107,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-06-02-02-01-03.wav,fearful,3
108,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-05-02-02-01-03.wav,angry,3
109,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-05-02-01-02-03.wav,angry,3
110,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-06-01-02-01-03.wav,fearful,2
111,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-07-01-01-01-03.wav,disgust,2
112,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-08-02-01-01-03.wav,surprised,3
113,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-05-01-02-01-03.wav,angry,2
114,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-07-02-02-02-03.wav,disgust,3
115,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-08-02-02-01-03.wav,surprised,3
116,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-08-02-02-02-03.wav,surprised,3
117,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-08-01-01-02-03.wav,surprised,2
118,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-08-01-01-01-03.wav,surprised,2
119,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_03/03-01-06-01-01-01-03.wav,fearful,2
120,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-01-01-01-01-17.wav,neutral,2
121,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-03-01-01-01-17.wav,happy,2
122,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-04-01-01-01-17.wav,sad,2
123,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-02-02-02-01-17.wav,calm,3
124,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-04-02-02-02-17.wav,sad,3
125,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-02-02-01-02-17.wav,calm,3
126,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-05-01-01-02-17.wav,angry,2
127,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-04-02-01-02-17.wav,sad,3
128,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-05-01-01-01-17.wav,angry,2
129,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-04-01-02-02-17.wav,sad,2
130,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-02-02-01-01-17.wav,calm,3
131,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-01-01-02-01-17.wav,neutral,2
132,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-01-01-02-02-17.wav,neutral,2
133,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-02-02-02-02-17.wav,calm,3
134,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-04-01-01-02-17.wav,sad,2
135,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-04-01-02-01-17.wav,sad,2
136,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-02-01-01-02-17.wav,calm,2
137,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-01-01-01-02-17.wav,neutral,2
138,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-02-01-01-01-17.wav,calm,2
139,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-03-01-02-02-17.wav,happy,2
140,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-04-02-02-01-17.wav,sad,3
141,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-03-02-02-01-17.wav,happy,3
142,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-03-02-01-02-17.wav,happy,3
143,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-04-02-01-01-17.wav,sad,3
144,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-05-01-02-01-17.wav,angry,2
145,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-02-01-02-01-17.wav,calm,2
146,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-03-02-02-02-17.wav,happy,3
147,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-03-01-02-01-17.wav,happy,2
148,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-03-01-01-02-17.wav,happy,2
149,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-03-02-01-01-17.wav,happy,3
150,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-02-01-02-02-17.wav,calm,2
151,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-05-02-01-02-17.wav,angry,3
152,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-08-01-02-01-17.wav,surprised,2
153,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-08-01-01-01-17.wav,surprised,2
154,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-06-02-02-01-17.wav,fearful,3
155,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-06-01-02-01-17.wav,fearful,2
156,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-06-02-01-02-17.wav,fearful,3
157,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-08-02-01-01-17.wav,surprised,3
158,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-06-01-01-01-17.wav,fearful,2
159,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-05-02-02-01-17.wav,angry,3
160,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-08-02-02-02-17.wav,surprised,3
161,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-05-02-02-02-17.wav,angry,3
162,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-08-01-02-02-17.wav,surprised,2
163,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-07-02-01-02-17.wav,disgust,3
164,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-05-02-01-01-17.wav,angry,3
165,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-07-02-02-01-17.wav,disgust,3
166,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-07-01-02-02-17.wav,disgust,2
167,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-06-01-01-02-17.wav,fearful,2
168,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-07-02-02-02-17.wav,disgust,3
169,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-06-01-02-02-17.wav,fearful,2
170,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-07-01-02-01-17.wav,disgust,2
171,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-06-02-01-01-17.wav,fearful,3
172,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-07-02-01-01-17.wav,disgust,3
173,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-08-01-01-02-17.wav,surprised,2
174,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-08-02-01-02-17.wav,surprised,3
175,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-06-02-02-02-17.wav,fearful,3
176,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-07-01-01-01-17.wav,disgust,2
177,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-05-01-02-02-17.wav,angry,2
178,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-08-02-02-01-17.wav,surprised,3
179,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_17/03-01-07-01-01-02-17.wav,disgust,2
180,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-05-02-01-02-22.wav,angry,3
181,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-03-02-01-02-22.wav,happy,3
182,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-07-01-02-01-22.wav,disgust,2
183,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-02-02-01-02-22.wav,calm,3
184,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-07-01-02-02-22.wav,disgust,2
185,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-02-02-02-02-22.wav,calm,3
186,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-07-02-01-02-22.wav,disgust,3
187,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-06-02-02-02-22.wav,fearful,3
188,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-07-02-01-01-22.wav,disgust,3
189,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-07-01-01-02-22.wav,disgust,2
190,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-06-02-01-01-22.wav,fearful,3
191,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-06-01-02-02-22.wav,fearful,2
192,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-04-01-02-02-22.wav,sad,2
193,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-02-02-01-01-22.wav,calm,3
194,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-02-01-01-01-22.wav,calm,2
195,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-07-02-02-02-22.wav,disgust,3
196,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-04-01-01-01-22.wav,sad,2
197,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-02-01-01-02-22.wav,calm,2
198,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-06-01-02-01-22.wav,fearful,2
199,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-01-01-01-02-22.wav,neutral,2
200,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-06-01-01-01-22.wav,fearful,2
201,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-05-01-01-01-22.wav,angry,2
202,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-02-01-02-02-22.wav,calm,2
203,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-01-01-02-01-22.wav,neutral,2
204,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-05-02-02-02-22.wav,angry,3
205,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-04-01-02-01-22.wav,sad,2
206,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-07-01-01-01-22.wav,disgust,2
207,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-04-02-01-02-22.wav,sad,3
208,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-08-01-01-01-22.wav,surprised,2
209,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-03-02-02-01-22.wav,happy,3
210,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-02-02-02-01-22.wav,calm,3
211,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-05-01-02-01-22.wav,angry,2
212,/content/drive/MyDrive/Dataset/Emotional Speech Audio/RAVDESS/Actor_22/03-01-04-02-01-01-22.wav,sad,3
